Nome Conto,Entrate/Uscite,Causale,Data
Portafogli,10,Sabato sera (pagato con yap),23/12/2018 15:43.06
Genius Card,-10,ricarica cellulare e uscita viglilia di natale,24/12/2018 19:56.26
Portafogli,-10,ricarica cellulare e uscita viglilia di natale,24/12/2018 19:56.26
Portafogli,20,natale,25/12/2018 12:33.11
Portafogli,40,regalo di natale,26/12/2018 11:56.47
Portafogli,20,regalo natale,26/12/2018 18:40.23
Genius Card,-3,acquisto ages of empires II su steam,28/12/2018 17:40.08
Portafogli,-5,pizza,30/12/2018 19:16.03
Genius Card,-5,Amazon.. di nuovo,31/12/2018 14:19.39
Portafogli,0,poor,23/12/2010 16:08.22
Genius Card,115,start,23/12/2014 11:08.22
Yap,1,start,23/12/2014 16:08.22
TEST,1010,TEST,11/9/2015 16:08.22
TEST,1,TEST,23/10/2015 16:08.22
Portafogli,99,test,23/12/2015 16:08.22
Andalusia,-1000,Acquisto Andalusia,23/12/2016 16:08.22
Andalusia,10,boh,23/12/2017 16:08.22
Portafogli,-99,test,23/12/2018 16:08.22
TEST,-500,TEST,23/12/2018 16:30.06
TEST,999,|cane,patate,giostre|,27/12/2018 12:56.31
Portafogli,-5,pizza,30/12/2018 19:52.23
Yap,23,Ratatuie none,04/01/2019 21:41.07
Yap,5,ritest ,04/01/2019 21:43.59
Yap,3,test ,04/01/2019 21:45.10
Yap,-5,Amazon Prime ,04/01/2019 21:47.51
Yap,-0,Scaduta ,04/01/2019 21:54.03
Yap,-3,test2 ,04/01/2019 21:57.27
Yap,-3,test2 ,04/01/2019 22:00.22
Yap,-3,test ,04/01/2019 22:01.03
Yap,-3,test ,04/01/2019 22:01.35
Yap,-3,test ,04/01/2019 22:01.59
Yap,-3,test ,04/01/2019 22:02.14
Yap,-23,Ratatuie none,05/01/2019 12:05.07
Yap,-1,mensile test ,05/01/2019 19:14.52
Yap,-1,mensile test ,05/01/2019 19:15.25
Yap,-5,Amazon Prime ,06/01/2019 13:52.21
Yap,-5,Amazon Prime (Scadenza del: 28/3/2019),06/01/2019 15:23.39
Yap,120,Polscha Monaaayey(Scadenza del: 12/2/2019),06/01/2019 15:30.54
Yap,-5,Amazon Prime (Scadenza del: 28/4/2019),06/01/2019 15:33.40
TEST,1,1,06/01/2019 16:02.07
Portafogli,100,AH,06/01/2019 16:07.59
Yap,-5,Amazon Prime  (Scadenza del: 28/5/2019),06/01/2019 17:48.52
Portafogli,4,ewwwwe,07/01/2019 16:27.24
Portafogli,2.34,?,07/01/2019 16:27.42
Genius Card,-35,Trasferimento dal conto -Genius Card- al conto -Yap-,07/01/2019 17:52.45
Yap,35,Trasferimento dal conto -Genius Card- al conto -Yap-,07/01/2019 17:52.45
TEST,-1,Trasferimento dal conto -TEST- al conto -Andalusia-,07/01/2019 17:54.33
Andalusia,1,Trasferimento dal conto -TEST- al conto -Andalusia-,07/01/2019 17:54.33
Portafogli,-100,,07/01/2019 18:22.41
TEST,1,,07/01/2019 18:23.07
Andalusia,-12,Ratatat  (Scadenza del: 29/1/2020),07/01/2019 18:31.35
TEST,1,test test test test test test test the quick brown fox xof nworb kciuq eht tset tset tset tset tset test test test test test tstetstst hhfhfhfh hfhfh hfhf hfh hfhfh hfhfhfh hfhfhfh hfhfhfhfh hfhfhfhfh hfhfhfhfh hfhfhfhhf,27/01/2019 17:05.48
Andalusia,10000,Metano,01/11/2019 17:57.27
